stroke_id,x,y,time,is_writing
0,20.0,3.0,0.0,1
0,17.0,3.0,51.669921875,1
0,12.75,6.25,143.818359375,1
0,10.625,7.875,189.892578125,1
0,8.5,9.5,235.966796875,1
0,4.25,12.75,328.115234375,1
0,2.125,14.375,374.189453125,1
0,1.0625,15.1875,397.2265625,1
0,0.0,16.0,420.263671875,1
0,1.0,14.0,458.775390625,1
0,5.5,7.0,602.1015625,1
0,7.75,3.5,673.765625,1
0,10.0,0.0,745.427734375,1
0,11.0,2.0,783.939453125,1
0,11.0,6.25,857.138671875,1
0,11.0,8.375,893.73828125,1
0,11.0,10.5,930.337890625,1
0,11.5,15.75,1021.16796875,1
0,11.75,18.375,1066.583984375,1
0,11.875,19.6875,1089.29296875,1
0,12.0,21.0,1112.0,1
