stroke_id,x,y,time,is_writing
0,54.0,1.0,0.0,1
0,49.0,0.0,85.0,1
0,23.0,5.0,186.0,1
0,14.0,13.0,227.0,1
0,5.0,27.0,269.0,1
0,1.0,39.0,319.0,1
0,0.0,53.0,381.0,1
0,4.0,65.0,427.0,1
0,13.0,75.0,494.0,1
0,30.0,82.0,560.0,1
0,60.0,85.0,644.0,1
0,70.0,79.0,710.0,1
0,85.0,58.0,836.0,1
0,89.0,39.0,952.0,1
0,89.0,35.0,1036.0,1
0,87.0,36.0,1286.0,1
0,68.0,56.0,1435.0,1
0,65.0,60.0,1479.0,1
0,66.0,58.0,2595.0,1
0,77.0,43.0,2819.0,1
0,88.0,32.0,2919.0,1
0,89.0,34.0,3152.0,1
0,102.0,59.0,3344.0,1
