stroke_id,x,y,time,is_writing
0,4.0,7.0,0.0,1
0,2.0,7.0,133.0,1
0,0.0,11.0,274.0,1
0,2.0,15.0,349.0,1
0,13.0,20.0,425.0,1
0,18.0,18.0,508.0,1
0,20.0,10.0,633.0,1
0,15.0,2.0,800.0,1
0,7.0,1.0,974.0,1
0,3.0,4.0,1064.0,1
0,6.0,12.0,1191.0,1
0,8.0,13.0,1216.0,1
0,10.0,12.0,1316.0,1
0,13.0,8.0,1349.0,1
0,13.0,4.0,1415.0,1
0,9.0,4.0,1549.0,1
0,8.0,14.0,1657.0,1
0,11.0,12.0,1758.0,1
0,12.0,4.0,1850.0,1
0,9.0,6.0,1966.0,1
0,9.0,10.0,2024.0,1
0,11.0,11.0,2050.0,1
0,13.0,5.0,2149.0,1
0,11.0,0.0,2208.0,1
0,6.0,7.0,2282.0,1
0,6.0,11.0,2342.0,1
0,11.0,8.0,2433.0,1
0,9.0,7.0,2516.0,1
0,6.0,12.0,2562.0,1
0,10.0,9.0,2684.0,1
0,9.0,11.0,2783.0,1
0,11.0,14.0,2955.0,1
0,9.0,17.0,2983.0,1
0,11.0,17.0,3056.0,1
0,13.0,15.0,3078.0,1
