stroke_id,x,y,time,is_writing
0,158.0,18.0,0.0,1
0,157.0,16.0,114.0,1
0,149.0,7.0,205.0,1
0,117.0,0.0,321.0,1
0,80.0,0.0,405.0,1
0,47.0,8.0,522.0,1
0,26.0,18.0,580.0,1
0,5.0,35.0,655.0,1
0,1.0,44.0,702.0,1
0,0.0,54.0,758.0,1
0,6.0,61.0,905.0,1
0,18.0,66.0,963.0,1
0,56.0,73.0,1046.0,1
0,83.0,76.0,1097.0,1
0,169.0,74.0,1198.0,1
0,239.0,66.0,1288.0,1
0,251.0,62.0,1330.0,1
0,251.0,58.0,1422.0,1
0,241.0,43.0,1496.0,1
0,216.0,27.0,1613.0,1
0,184.0,17.0,1713.0,1
0,156.0,9.0,1846.0,1
0,154.0,8.0,1888.0,1
