stroke_id,x,y,time,is_writing
0,139.0,57.0,0.0,1
0,135.0,59.0,97.0,1
0,97.0,83.0,142.0,1
0,59.0,111.0,191.0,1
0,56.0,118.0,210.0,1
0,62.0,123.0,243.0,1
0,130.0,135.0,333.0,1
0,131.0,137.0,366.0,1
0,128.0,144.0,400.0,1
0,79.0,188.0,497.0,1
0,73.0,198.0,536.0,1
0,73.0,202.0,558.0,1
0,77.0,207.0,637.0,1
0,86.0,213.0,675.0,1
0,120.0,226.0,716.0,1
0,148.0,229.0,761.0,1
0,163.0,225.0,800.0,1
0,174.0,215.0,840.0,1
0,179.0,204.0,885.0,1
0,181.0,191.0,931.0,1
0,178.0,187.0,975.0,1
0,175.0,187.0,1023.0,1
0,110.0,210.0,1089.0,1
0,98.0,217.0,1110.0,1
0,95.0,222.0,1143.0,1
0,103.0,229.0,1199.0,1
0,119.0,232.0,1247.0,1
0,130.0,229.0,1267.0,1
0,140.0,219.0,1301.0,1
0,165.0,167.0,1391.0,1
0,171.0,135.0,1436.0,1
0,174.0,85.0,1481.0,1
0,173.0,68.0,1506.0,1
0,168.0,52.0,1548.0,1
0,164.0,48.0,1582.0,1
0,157.0,46.0,1616.0,1
0,154.0,43.0,1695.0,1
0,157.0,32.0,1773.0,1
0,157.0,26.0,1807.0,1
0,152.0,19.0,1841.0,1
0,121.0,7.0,1879.0,1
0,89.0,1.0,1886.0,1
0,31.0,0.0,1922.0,1
0,3.0,9.0,1955.0,1
0,0.0,19.0,2010.0,1
0,6.0,49.0,2099.0,1
0,17.0,73.0,2147.0,1
0,32.0,98.0,2190.0,1
0,45.0,119.0,2235.0,1
0,59.0,129.0,2281.0,1
0,89.0,135.0,2347.0,1
0,91.0,134.0,2358.0,1
