stroke_id,x,y,time,is_writing
0,291.0,1.0,0.0,1
0,289.0,1.0,12.69091796875,1
0,282.0,1.0,57.109375,1
0,223.0,3.0,431.7099609375,1
0,191.0,6.0,635.65673828125,1
0,153.0,6.0,876.7861328125,1
0,148.0,5.5,908.671875,1
0,76.5,7.75,1362.6005859375,1
0,40.75,8.875,1589.564453125,1
0,22.875,9.4375,1703.046875,1
0,5.0,10.0,1816.529296875,1
0,0.0,10.0,1848.2568359375,1
0,2.5,18.0,1901.44140625,1
0,3.75,22.0,1928.0341796875,1
0,5.0,26.0,1954.626953125,1
0,5.0,34.0,2005.390625,1
0,5.0,38.0,2030.7724609375,1
0,5.0,40.0,2043.4638671875,1
0,5.0,42.0,2056.1552734375,1
0,5.0,44.0,2068.845703125,1
0,7.0,44.0,2081.537109375,1
0,23.0,41.0,2184.833984375,1
0,97.0,29.0,2660.5361328125,1
0,182.0,21.0,3202.2880859375,1
0,215.0,18.0,3412.5537109375,1
0,249.0,19.0,3628.39453125,1
0,260.0,21.0,3699.3388671875,1
0,284.0,25.0,3853.732421875,1
0,292.0,25.0,3904.49609375,1
0,293.0,23.0,3918.685546875,1
0,293.0,15.0,3969.44921875,1
0,292.25,13.25,3981.5302734375,1
0,291.5,11.5,3993.6123046875,1
0,291.0,0.0,4066.654296875,1
0,291.0,0.5,4069.8271484375,1
0,291.0,0.75,4071.4140625,1
0,291.0,1.0,4073.0,1
