stroke_id,x,y,time,is_writing
0,4.0,113.0,0.0,1
0,4.0,111.0,11.306640625,1
0,18.0,93.25,139.107421875,1
0,25.0,84.375,203.0078125,1
0,32.0,75.5,266.908203125,1
0,46.0,57.75,394.708984375,1
0,53.0,48.875,458.609375,1
0,56.5,44.4375,490.560546875,1
0,60.0,40.0,522.509765625,1
0,57.0,38.0,542.89453125,1
0,46.75,29.75,617.27734375,1
0,41.625,25.625,654.46875,1
0,36.5,21.5,691.66015625,1
0,18.0,6.0,828.1015625,1
0,15.5,4.5,844.583984375,1
0,14.25,3.75,852.82421875,1
0,13.0,3.0,861.06640625,1
0,12.0,1.0,873.70703125,1
0,10.0,0.0,886.34765625,1
0,9.0,2.0,898.98828125,1
0,4.0,43.0,1132.48828125,1
0,6.5,54.0,1196.259765625,1
0,0.0,101.0,1464.4921875,1
0,2.0,107.0,1500.24609375,1
0,3.0,110.0,1518.123046875,1
0,4.0,113.0,1536.0,1
