stroke_id,x,y,time,is_writing
0,57.0,0.0,0.0,1
0,45.0,0.25,53.5830078125,1
0,39.0,0.375,80.375,1
0,36.0,0.4375,93.7705078125,1
0,33.0,0.5,107.1669921875,1
0,21.0,0.75,160.75,1
0,15.0,0.875,187.5419921875,1
0,12.0,0.9375,200.9375,1
0,9.0,1.0,214.333984375,1
0,8.0,3.0,224.31640625,1
0,8.0,5.0,233.2451171875,1
0,8.0,60.0,478.7822265625,1
0,4.5,96.0,640.2548828125,1
0,1.0,145.0,859.5634765625,1
0,1.0,150.0,881.8857421875,1
0,0.5,170.5,973.4306640625,1
0,0.0,191.0,1064.9765625,1
0,0.0,193.0,1073.9052734375,1
0,2.0,193.0,1082.833984375,1
0,9.0,191.25,1115.0458984375,1
0,16.0,189.5,1147.2578125,1
0,24.0,188.75,1183.12890625,1
0,28.0,188.375,1201.064453125,1
0,30.0,188.1875,1210.0322265625,1
0,32.0,188.0,1219.0,1
