stroke_id,x,y,time,is_writing
0,0.0,0.0,0.0,1
0,22.25,0.0,101.2041015625,1
0,33.375,0.0,151.806640625,1
0,38.9375,0.0,177.107421875,1
0,44.5,0.0,202.4091796875,1
0,66.75,0.0,303.61328125,1
0,77.875,0.0,354.2158203125,1
0,83.4375,0.0,379.5166015625,1
0,89.0,0.0,404.8173828125,1
0,90.0,2.0,414.98828125,1
0,87.0,15.25,476.7822265625,1
0,85.5,21.875,507.6787109375,1
0,84.0,28.5,538.5751953125,1
0,81.5,42.75,604.380859375,1
0,80.25,49.875,637.2841796875,1
0,79.625,53.4375,653.736328125,1
0,79.0,57.0,670.1875,1
0,79.0,61.0,688.3818359375,1
0,77.0,61.0,697.478515625,1
0,52.0,41.0,843.1025390625,1
0,40.5,30.0,915.486328125,1
0,12.0,12.0,1068.8095703125,1
0,6.0,6.0,1107.404296875,1
0,3.0,3.0,1126.7021484375,1
0,0.0,0.0,1146.0,1
